date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2014-02-09;CO-CUN;0;0;0;44;0;0;0
2014-02-16;CO-CUN;100;0;0;93;0;0;0
2014-02-23;CO-CUN;0;0;0;0;0;0;0
2014-03-02;CO-CUN;0;0;0;0;54;0;0
2014-03-09;CO-CUN;0;0;0;0;0;0;0
2014-03-16;CO-CUN;0;0;0;46;52;0;0
2014-03-23;CO-CUN;0;0;0;0;0;0;0
2014-03-30;CO-CUN;0;0;0;0;0;0;0
2014-04-06;CO-CUN;0;0;0;0;56;0;45
2014-04-13;CO-CUN;0;0;0;0;44;0;0
2014-04-20;CO-CUN;0;0;0;0;0;0;58
2014-04-27;CO-CUN;0;0;0;0;0;0;0
2014-05-04;CO-CUN;0;0;0;0;0;0;66
2014-05-11;CO-CUN;18;27;0;0;0;0;0
2014-05-18;CO-CUN;0;0;0;51;0;0;0
2014-05-25;CO-CUN;0;22;0;0;0;0;0
2014-06-01;CO-CUN;0;0;0;0;20;0;0
2014-06-08;CO-CUN;31;100;0;86;0;0;0
2014-06-15;CO-CUN;0;0;0;56;0;0;0
2014-06-22;CO-CUN;0;0;0;0;0;0;100
2014-06-29;CO-CUN;0;0;0;0;47;0;0
2014-07-06;CO-CUN;0;0;0;0;0;0;0
2014-07-13;CO-CUN;0;0;0;0;0;0;0
2014-07-20;CO-CUN;0;0;0;0;0;0;24
2014-07-27;CO-CUN;23;86;0;0;0;0;32
2014-08-03;CO-CUN;0;0;0;72;36;0;38
2014-08-10;CO-CUN;34;0;0;0;0;0;0
2014-08-17;CO-CUN;0;0;0;0;0;68;0
2014-08-24;CO-CUN;0;0;0;0;0;0;0
2014-08-31;CO-CUN;0;0;0;43;0;0;0
2014-09-07;CO-CUN;0;0;0;0;0;0;0
2014-09-14;CO-CUN;0;0;0;0;0;0;0
2014-09-21;CO-CUN;0;0;0;0;57;0;0
2014-09-28;CO-CUN;0;0;0;0;0;0;0
2014-10-05;CO-CUN;0;0;0;47;0;0;0
2014-10-12;CO-CUN;0;0;0;0;0;0;0
2014-10-19;CO-CUN;17;0;0;0;0;24;0
2014-10-26;CO-CUN;13;0;0;0;0;0;26
2014-11-02;CO-CUN;0;24;0;0;0;0;0
2014-11-09;CO-CUN;0;0;0;0;0;0;0
